"H1[L=50,portfolio=btc]","H1[L=50,portfolio=top5]","H1[L=100,portfolio=btc]","H1[L=100,portfolio=top5]",chosen,test_start
2.4915460818912765,0.7465356081500414,2.539436790666816,1.3153219718925595,"H1[L=100,portfolio=btc]",2021-07-01
2.6819091517184126,0.6783206621010746,2.3124792943376145,0.7107076438744152,"H1[L=50,portfolio=btc]",2021-10-01
1.3050072907913264,0.7498534441628972,0.660838134754139,0.5340994299549188,"H1[L=50,portfolio=btc]",2022-01-01
0.6315831483773069,1.5273394349584994,-0.542785728331637,0.9542794512554109,"H1[L=50,portfolio=top5]",2022-04-01
0.9814484495880983,1.5073700944663564,-0.02212768714564124,0.8948771756859089,"H1[L=50,portfolio=top5]",2022-07-01
0.3015654279644988,0.5532716927362868,-0.37281410419947186,0.6216126789392064,"H1[L=100,portfolio=top5]",2022-10-01
-1.1537428936448766,-0.8711774630635873,-1.891831909216854,-1.6155745912056547,"H1[L=50,portfolio=top5]",2023-01-01
-0.42712616427328476,-0.6672339110286815,-0.21566912159620938,-1.5376282368539627,"H1[L=100,portfolio=btc]",2023-04-01
-0.021766394560843935,-0.26085510219376734,-0.04133520031740007,-0.9594135613017,"H1[L=50,portfolio=btc]",2023-07-01
0.018093546399897034,-0.18665221388439387,-0.42590885230322906,-1.4822133514358162,"H1[L=50,portfolio=btc]",2023-10-01
1.846610130740598,1.7579767305112732,1.082268417023247,0.5564168192347761,"H1[L=50,portfolio=btc]",2024-01-01
1.8821010557940114,1.9999754667776235,1.5509014159536512,0.31871201415825884,"H1[L=50,portfolio=top5]",2024-04-01
1.469859415913014,1.6527033854420117,1.3281512221978788,-0.06139112094625074,"H1[L=50,portfolio=top5]",2024-07-01
0.8748619353678156,1.3527752791490755,1.0108669794514538,0.0103475896333367,"H1[L=50,portfolio=top5]",2024-10-01
0.7445206391393027,1.6004526624516129,1.0174545992776167,0.6461064905129624,"H1[L=50,portfolio=top5]",2025-01-01
-0.3159528525247267,0.44357968967838723,0.04693639132016957,0.5874652832286191,"H1[L=100,portfolio=top5]",2025-04-01
0.510422272371047,1.266925803695705,0.8217604124023308,1.0376279975999227,"H1[L=50,portfolio=top5]",2025-07-01
1.4046579028888297,1.8481200916041258,1.5429426305240013,1.6452647938993532,"H1[L=50,portfolio=top5]",2025-10-01
-0.506501773781796,0.021917286446568734,-0.08881690030144712,-0.16951356714017674,"H1[L=50,portfolio=top5]",2026-01-01
-0.6984008878596755,0.020800613982437113,0.059630309980594876,0.06532415666156033,"H1[L=100,portfolio=top5]",2026-04-01
