H2[L=20],H2[L=50],chosen,test_start
2.023043844808441,1.9379993604862777,H2[L=20],2021-07-01
1.2024290548168464,0.9859562022901334,H2[L=20],2021-10-01
0.286758047775534,0.043328343298698106,H2[L=20],2022-01-01
-2.2439305883549694,-2.7130131514981928,H2[L=20],2022-04-01
-3.122497859582612,-3.66509650565591,H2[L=20],2022-07-01
-0.8957454471648647,-1.3728178526241064,H2[L=20],2022-10-01
-0.508556107479674,-1.095868690351669,H2[L=20],2023-01-01
0.36777286262360503,0.018098875803799996,H2[L=20],2023-04-01
0.624651054938486,0.24941465076146793,H2[L=20],2023-07-01
0.02429599517914889,-0.4686421823022145,H2[L=20],2023-10-01
-0.03247809906186972,1.2611429952649624,H2[L=50],2024-01-01
0.5336432308516219,0.6506446217559189,H2[L=50],2024-04-01
0.4018466482670606,0.40167415191601596,H2[L=20],2024-07-01
0.03533252408083688,0.4819240296514611,H2[L=50],2024-10-01
1.2158119752876042,0.3469902189855303,H2[L=20],2025-01-01
-0.36172225686284715,0.15859089509909113,H2[L=50],2025-04-01
0.20957797166858405,0.6125707738773144,H2[L=50],2025-07-01
1.0994557179217919,1.1326704854929757,H2[L=50],2025-10-01
-0.18358796225819624,-0.6076041453826738,H2[L=20],2026-01-01
-0.10566473492383843,-0.522516550967177,H2[L=20],2026-04-01
