H3[cadence=weekly],H3[cadence=biweekly],chosen,test_start
2.0752035707124064,1.6205215102027906,H3[cadence=weekly],2021-07-01
1.073246367315114,0.7110337008716318,H3[cadence=weekly],2021-10-01
-0.6616914298774731,0.1554013019942138,H3[cadence=biweekly],2022-01-01
-1.3279458801477575,-0.3417016289444625,H3[cadence=biweekly],2022-04-01
-2.883627400781166,-1.014781093808528,H3[cadence=biweekly],2022-07-01
-1.2394028429038166,-0.3678671028232659,H3[cadence=biweekly],2022-10-01
-0.8850963260772561,-0.9773248986319122,H3[cadence=weekly],2023-01-01
0.15884771152955013,-0.129663800501877,H3[cadence=weekly],2023-04-01
0.30347824744507135,0.08822409752976339,H3[cadence=weekly],2023-07-01
-0.15338287264485537,-0.12379685406545102,H3[cadence=biweekly],2023-10-01
1.7030327632692572,0.7799404071351048,H3[cadence=weekly],2024-01-01
1.1581814635944947,-0.011857926001233966,H3[cadence=weekly],2024-04-01
0.9253478744266148,-0.27602810363714136,H3[cadence=weekly],2024-07-01
1.101586316292779,-0.4323605113839579,H3[cadence=weekly],2024-10-01
-1.4073704781830765,-2.159563922163714,H3[cadence=weekly],2025-01-01
-2.125218334791862,-1.59402927861204,H3[cadence=biweekly],2025-04-01
-1.3667895914785506,-0.8817625136160051,H3[cadence=biweekly],2025-07-01
-0.44835438545368606,-0.5012897332659684,H3[cadence=weekly],2025-10-01
-0.3970842365045479,-0.14708488651162246,H3[cadence=biweekly],2026-01-01
-0.3931870684256052,-0.421289141419159,H3[cadence=weekly],2026-04-01
